"mnum";"mid";"mpwd";"mname";"memail";"mphone";"maddress";"mrdate";"mstatus"
1;"memtest1";"1234";"memtestuser";"memtest1@naver.com";"010-2273-9876";"서울 동작구 상도동";"2023-07-19";"active"
2;"memtest2";"1234";"memtestuser2";"memtest2@naver.com";"010-2836-5390";"서울 동작구 신대방동";"2023-07-19";"active"
3;"memtest3";"1234";"memtestuser3";"memtest3@naver.com";"010-7342-7575";"서울 관악구 신림1동";"2023-07-20";"active"
4;"memtest4";"1234";"memtestuser4";"memtest4@naver.com";"010-3862-7690";"서울 관악구 남현동";"2023-07-21";"active"
5;"memtest5";"1234";"memtestuser5";"memtest5@naver.com";"010-2392-7721";"서울 영등포구 여의도동";"2023-07-21";"active"
6;"memtest6";"1234";"memtestuser6";"memtest6@naver.com";"010-6689-3491";"서울 서초구 양재동";"2023-07-24";"active"
7;"memtest7";"1234";"memtestuser7";"memtest7@naver.com";"010-8739-8871";"서울 서초구 서초동";"2023-07-25";"active"
8;"memtest8";"1234";"memtestuser8";"memtest8@naver.com";"010-8253-0901";"서울 서초구 방배동";"2023-07-25";"active"
9;"memtest9";"9999";"memtestuser9";"memtest9@naver.com";"010-7091-4421";"서울 종로구 수송동";"2023-07-25";"inactive"
10;"tiger";"1234";"tiger";"tiger@naver.com";"0000000000";"서울시";"2023-07-27";"active"
